fiscal_year,ministry,scheme_name,sector,allocated_crore
2024-25,Ministry of Road Transport & Highways,NH Development,infrastructure,278000
2024-25,Ministry of Railways,Railway Capital Works,infrastructure,255000
2024-25,Ministry of Defence,Armed Forces Modernisation,defence,621540
2024-25,Ministry of Health & FW,Ayushman Bharat – PM-JAY,healthcare,7500
2024-25,Ministry of Health & FW,National Health Mission,healthcare,36000
2024-25,Ministry of Education,Samagra Shiksha,education,37453
2024-25,Ministry of Education,Higher Education – IITs/IIMs,education,44094
2024-25,Ministry of Agriculture,PM Kisan,social_welfare,20000
2024-25,Ministry of Rural Development,MGNREGA,social_welfare,86000
2024-25,Ministry of Rural Development,PM Awas Yojana – Gramin,rural_dev,54500
2024-25,Ministry of Jal Shakti,Jal Jeevan Mission,rural_dev,70163
2024-25,Department of Space,ISRO & Space Programme,others,13042
2024-25,Department of Finance,Interest Payments,admin,1190440
2024-25,Ministry of Finance,Central Govt Salaries,admin,285000
